事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
中国自主研制的运-20大型运输机首次试飞取得圆满成功,,中国自主研制的运-20大型运输机首次试飞取得圆满成功。2016年7月6日，运-20大型运输机正式列装空军航空兵部队。,2013年1月26日,,重大项目及重要成就事件,,,,,,,,,,,
中共十八届二中全会,,,2013年2月26日－2013年2月28日,,会议事件,,,,,,,,,,,
十一届全国人大常委会第三十一次会议,,十一届全国人大常委会第三十一次会议通过全国人大常委会代表资格审查委员会关于十二届全国人大代表的代表资格的审查报告。十二届全国人大代表选举是2010年修改选举法后，首次实行城乡按相同人口比例进行的选举。,2013年2月27日,,会议事件,,,,,,,,,,,
全国政协十二届一次会议,,全国政协十二届一次会议举行。会议选举俞正声为全国政协主席。,2013年3月3日－2013年3月12日,,会议事件,,,,,,,,,,,
十二届全国人大一次会议,,会议选举习近平为国家主席、国家中央军委主席，张德江为全国人大常委会委员长，决定李克强为国务院总理。会议批准《国务院机构改革和职能转变方案》。,2013年3月5日－2013年3月17日,,会议事件,,,,,,,,,,,
习近平对俄罗斯、坦桑尼亚、南非、刚果共和国进行国事访问,,习近平对俄罗斯、坦桑尼亚、南非、刚果共和国进行国事访问，并出席在南非举行的金砖国家领导人第五次会晤。,2013年3月22日－2013年3月30日,,访问事件,,,,,,,,,,,
构建人类命运共同体,,23日，习近平在俄罗斯莫斯科国际关系学院发表演讲，倡导构建人类命运共同体，呼吁各国共同推动建立以合作共赢为核心的新型国际关系。25日，在坦桑尼亚尼雷尔国际会议中心发表演讲时首次提出“真实亲诚”的对非政策理念和正确义利观。,2013年3月23日,,决策事件,习近平,,,,,,,,,,
2013年中央政治局常委会会议,,中央政治局常委会召开会议，研究当前经济形势和经济工作。此后，中央政治局形成制度，原则上每个季度召开会议研究经济形势。,2013年4月25日,,会议事件,,,,,,,,,,,
《关于在全党深入开展党的群众路线教育实践活动的意见》,,中共中央印发《关于在全党深入开展党的群众路线教育实践活动的意见》。2013年6月至2014年9月，全党分两批开展以为民务实清廉为主要内容的党的群众路线教育实践活动，集中整治形式主义、官僚主义、享乐主义和奢靡之风“四风”问题。,2013年5月9日,,文献事件,,,,,,,,,,,
中央巡视工作动员暨培训会议,,中央巡视工作动员暨培训会议召开。十八届中共中央共开展12轮巡视，巡视277个党组织，在党的历史上首次实现一届任期内巡视全覆盖。,2013年5月17日－2013年5月18日,,会议事件,,,,,,,,,,,
《中国共产党巡视工作条例》,,中共中央印发《中国共产党巡视工作条例》。2017年7月1日，该条例经修订后重新颁布。到2021年6月，十九届中共中央已开展7轮巡视。,2015年8月3日,,文献事件,,,,,,,,,,,
2013年全国组织工作会议召开,,习近平明确提出信念坚定、为民服务、勤政务实、敢于担当、清正廉洁的好干部标准。,2013年6月28日－2013年6月29日,,会议事件,,,,,,,,,,,
《关于加快棚户区改造工作的意见》,,,2013年7月4日,,文献事件,,,,,,,,,,,
2013年全国宣传思想工作会议召开,,习近平讲话指出，要巩固马克思主义在意识形态领域的指导地位，巩固全党全国人民团结奋斗的共同思想基础；我们正在进行具有许多新的历史特点的伟大斗争，面临的挑战和困难前所未有，必须坚持巩固壮大主流思想舆论，弘扬主旋律，传播正能量，激发全社会团结奋进的强大力量。,2013年8月19日－2013年8月20日,,会议事件,,,,,,,,,,,
欧美同学会成立100周年庆祝大会,,习近平提出支持留学、鼓励回国、来去自由、发挥作用的留学人员工作方针。,2013年10月21日,,会议事件,,,,,,,,,,,
周边外交工作座谈会,,习近平讲话指出，我国周边外交的基本方针，就是坚持与邻为善、以邻为伴，坚持睦邻、安邻、富邻，突出体现亲、诚、惠、容的理念；外交工作要坚持正确义利观，多向发展中国家提供力所能及的帮助。,2013年10月24日－2013年10月25日,,会议事件,,,,,,,,,,,
《中央党内法规制定工作五年规划纲要（2013－2017年）》,,,2013年11月5日,,文献事件,,,,,,,,,,,
《中央党内法规制定工作第二个五年规划（2018－2022年）》,,,2018年2月9日,,文献事件,,,,,,,,,,,
中共十八届三中全会,,全会指出，全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化；经济体制改革核心问题是处理好政府和市场的关系，使市场在资源配置中起决定性作用和更好发挥政府作用。,2013年11月9日－2013年11月12日,,会议事件,,,,,,,,,,,
《党政机关厉行节约反对浪费条例》,,中共中央、国务院印发《党政机关厉行节约反对浪费条例》。依据条例，党政机关经费管理、国内差旅、因公临时出国（境）、培训、公务接待、公务用车、会议活动、办公用房、基层党建活动、资源节约等方面的党内法规和规范性文件相继出台。,2013年11月18日,,文献事件,,,,,,,,,,,
2013年中央经济工作会议召开,,习近平在中央经济工作会议上提出“新常态”。2014年12月9日，习近平在中央经济工作会议上讲话指出，我国经济正在向形态更高级、分工更复杂、结构更合理的阶段演化，经济发展进入新常态；认识新常态，适应新常态，引领新常态，是当前和今后一个时期我国经济发展的大逻辑。,2013年12月10日,,会议事件,,,“新常态”,,,,,,,,
《关于培育和践行社会主义核心价值观的意见》,,指出，富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是社会主义核心价值观的基本内容。,2013年12月11日,,文献事件,,,,,,,,,,,
首次中央城镇化工作会议,,习近平讲话指出，城镇化是现代化的必由之路，推进城镇化既要积极、又要稳妥、更要扎实，方向要明，步子要稳，措施要实。2014年3月12日，中共中央、国务院印发《国家新型城镇化规划（2014－2020年）》。到2020年底，全国常住人口城镇化率达到63.89%。,2013年12月12日－2013年12月13日,,会议事件,,,,,,,,,,,
《关于调整完善生育政策的意见》,,中共中央、国务院印发《关于调整完善生育政策的意见》，提出单独两孩的政策。,2013年12月21日,,文献事件,,,,,,,,,,,
《关于实施全面两孩政策改革完善计划生育服务管理的决定》,,2015年12月31日，中共中央、国务院作出《关于实施全面两孩政策改革完善计划生育服务管理的决定》。2016年1月1日，修改后的《中华人民共和国人口与计划生育法》正式实施，明确国家提倡一对夫妻生育两个子女。,2015年12月31日,,文献事件,,,,,,,,,,,
《关于优化生育政策促进人口长期均衡发展的决定》,,中央政治局会议审议《关于优化生育政策促进人口长期均衡发展的决定》，提出实施一对夫妻可以生育三个子女政策及配套支持措施。,2021年5月31日,,文献事件,,,,,,,,,,,
《习近平关于实现中华民族伟大复兴的中国梦论述摘编》出版,,,2013年12月,,文献事件,,,,,,,,,,,
《关于全面深化农村改革加快推进农业现代化的若干意见》,,中共中央、国务院印发《关于全面深化农村改革加快推进农业现代化的若干意见》。指出，把饭碗牢牢端在自己手上，是治国理政必须长期坚持的基本方针；提出抓紧构建新形势下以我为主、立足国内、确保产能、适度进口、科技支撑的国家粮食安全战略。,2014年1月2日,,文献事件,,,,,,,,,,,
2014年中央政法工作会议召开,,习近平讲话强调，要把维护社会大局稳定作为基本任务，把促进社会公平正义作为核心价值追求，把保障人民安居乐业作为根本目标，坚持严格执法公正司法，深化司法体制改革，加强和改进政法工作。,2014年1月7日－2014年1月8日,,会议事件,,,,,,,,,,,
修订后的《党政领导干部选拔任用工作条例》,,中共中央印发修订后的《党政领导干部选拔任用工作条例》。2019年3月3日，该条例重新修订后施行。,2014年1月14日,,文献事件,,,,,,,,,,,
《国家集成电路产业发展推进纲要》,,国务院印发《国家集成电路产业发展推进纲要》，提出到2030年，集成电路产业链主要环节达到国际先进水平，实现跨越发展。,2014年1月21日,,文献事件,,,,,,,,,,,
《新时期促进集成电路产业和软件产业高质量发展的若干政策》,,国务院印发《新时期促进集成电路产业和软件产业高质量发展的若干政策》。,2020年7月27日,,文献事件,,,,,,,,,,,
《注册资本登记制度改革方案》,,国务院印发《注册资本登记制度改革方案》，明确“实缴制”改为“认缴制”，企业年检制度改为年报公示制度。,2014年2月7日,,文献事件,,,,,,,,,,,
“两岸一家亲”理念,,习近平在会见中国国民党荣誉主席连战时提出，两岸双方应秉持“两岸一家亲”理念，共圆中华民族伟大复兴的中国梦。,2014年2月18日,,决策事件,,,,,,,,,,,
《关于建立统一的城乡居民基本养老保险制度的意见》,,,2014年2月21日,,文献事件,,,,,,,,,,,
《关于机关事业单位工作人员养老保险制度改革的决定》,,,2015年1月3日,,文献事件,,,,,,,,,,,
《关于建立企业职工基本养老保险基金中央调剂制度的通知》,,国务院发出《关于建立企业职工基本养老保险基金中央调剂制度的通知》。到2021年3月底，全国基本养老保险参保人数已超过10亿，达到10.07亿人。,2018年5月30日,,文献事件,,,,,,,,,,,
《京津冀协同发展规划纲要》,,,2015年6月9日,,文献事件,,,,,,,,,,,
十二届全国人大常委会第七次会议,,,2014年2月27日,,会议事件,,,,,,,,,,,
《关于深化司法体制和社会体制改革的意见》,,中共中央办公厅、国务院办公厅印发《关于深化司法体制和社会体制改革的意见》。改革的重点是完善司法人员分类管理制度、完善司法责任制、健全司法人员职业保障、推动省以下地方法院检察院人财物统一管理等。,2014年3月19日,,文献事件,,,,,,,,,,,
“理性、协调、并进”的中国核安全观,,习近平出席在荷兰海牙召开的第三届核安全峰会并发表讲话，提出“理性、协调、并进”的中国核安全观。,2014年3月24日,,决策事件,,,,,,,,,,,
《关于贯彻落实军委主席负责制建立和完善相关工作机制的意见》,,,2014年4月10日,,文献事件,,,,,,,,,,,
《关于全面深入贯彻军委主席负责制的意见》,,,2017年11月2日,,文献事件,,,,,,,,,,,
修订后的《中华人民共和国环境保护法》,,,2014年4月24日,,文献事件,,,,,,,,,,,
亚洲相互协作与信任措施会议第四次峰会,,亚洲相互协作与信任措施会议第四次峰会在上海召开。习近平讲话强调，要积极倡导共同、综合、合作、可持续的亚洲安全观。,2014年5月21日,上海,会议事件,,,,,,,,,,,
第二次中央新疆工作座谈会,,习近平讲话强调，要围绕社会稳定和长治久安这个总目标，坚持依法治疆、团结稳疆、长期建疆，努力建设团结和谐、繁荣富裕、文明进步、安居乐业的社会主义新疆。,2014年5月28日－2014年5月29日,,会议事件,,,,,,,,,,,
《政府督查工作条例》,,,2020年12月,,文献事件,,,,,,,,,,,
《深化财税体制改革总体方案》,,中央政治局会议审议通过《深化财税体制改革总体方案》。改革的目标是建立现代财政制度，重点是改进预算管理制度、深化税收制度改革、建立事权和支出责任相适应的制度。,2014年6月30日,,文献事件,,,,,,,,,,,
金砖国家领导人第六次会晤,,金砖国家领导人第六次会晤在巴西举行，决定成立新开发银行并将总部设在中国上海，建立金砖国家应急储备安排。,2014年7月15日,巴西,会议事件,,,,,,,,,,,
《关于进一步推进户籍制度改革的意见》,,国务院印发《关于进一步推进户籍制度改革的意见》。“十三五”时期，1亿农业转移人口和其他常住人口在城镇落户目标顺利实现。,2014年7月24日,,文献事件,,,,,,,,,,,
十二届全国人大常委会第十次会议,,十二届全国人大常委会第十次会议通过《关于设立烈士纪念日的决定》，将9月30日设立为烈士纪念日。,2014年8月31日,,会议事件,,,,,,,,,,,
庆祝全国人民代表大会成立60周年大会,,习近平讲话指出，坚定中国特色社会主义制度自信，首先要坚定对中国特色社会主义政治制度的自信，增强走中国特色社会主义政治发展道路的信心和决心。,2014年9月5日,,会议事件,,,,,,,,,,,
关于推动传统媒体和新兴媒体融合发展的指导意见》,,,2014年9月19日,,文献事件,,,,,,,,,,,
中央民族工作会议暨国务院第六次全国民族团结进步表彰大会,,,2014年9月28日,,会议事件,,,,,,,,,,,
《关于加强和改进新形势下民族工作的意见》,,,2014年10月12日,,文献事件,,,,,,,,,,,
《习近平谈治国理政》,,,2014年9月,,文献事件,,,,,,,,,,,
习近平主持召开文艺工作座谈会,,习近平主持召开文艺工作座谈会，强调只有牢固树立马克思主义文艺观，真正做到了以人民为中心，文艺才能发挥最大正能量。,2014年10月15日,,会议事件,,,,,,,,,,,
《关于繁荣发展社会主义文艺的意见》,,,2015年10月3日,,文献事件,,,,,,,,,,,
中共十八届四中全会,,全会通过《关于全面推进依法治国若干重大问题的决定》，指出全面推进依法治国，总目标是建设中国特色社会主义法治体系，建设社会主义法治国家。,2014年10月20日－2014年10月23日,,会议事件,,,,,,,,,,,
全军政治工作会议,,全军政治工作会议在福建古田召开。10月31日，习近平在讲话中阐明新的历史条件下党从思想上政治上建设军队的重大问题。,2014年10月30日－2014年11月2日,福建古田,会议事件,,,,,,,,,,,
中共中央转发《关于新形势下军队政治工作若干问题的决定》,,,2014年12月30日,,文献事件,,,,,,,,,,,
十二届全国人大常委会第十一次会议,,十二届全国人大常委会第十一次会议通过《关于设立国家宪法日的决定》，将12月4日设立为国家宪法日。,2014年11月1日,,会议事件,,,,,,,,,,,
《关于引导农村土地经营权有序流转发展农业适度规模经营的意见》,,,2014年11月6日,,文献事件,,,,,,,,,,,
《关于完善农村土地所有权承包权经营权分置办法的意见》,,,2016年10月22日,,文献事件,,,,,,,,,,,
亚太经合组织第22次领导人非正式会议,,亚太经合组织第22次领导人非正式会议在北京召开。习近平主持会议并发表讲话，倡导共建互信、包容、合作、共赢的亚太伙伴关系。会议决定启动亚太自由贸易区进程。,2014年11月11日,北京,会议事件,,,,,,,,,,,
首届世界互联网大会,,会议确定乌镇为世界互联网大会永久会址。,2014年11月19日－2014年11月21日,浙江乌镇,会议事件,,,,,,,,,,,
第二届世界互联网大会,,习近平在第二届世界互联网大会开幕式上发表主旨演讲，强调网络空间是人类共同的活动空间，呼吁共同构建网络空间命运共同体。,2015年12月16日,,会议事件,,,,,,,,,,,
2014年中央外事工作会议召开,,习近平讲话强调，中国必须有自己特色的大国外交。要高举和平、发展、合作、共赢的旗帜，统筹国内国际两个大局，统筹发展安全两件大事，牢牢把握坚持和平发展、促进民族复兴这条主线，维护国家主权、安全、发展利益，为和平发展营造更加有利的国际环境，维护和延长我国发展的重要战略机遇期，为实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦提供有力保障。,2014年11月28日－2014年11月29日,,会议事件,,,,,,,,,,,
《丝绸之路经济带和21世纪海上丝绸之路建设战略规划》,,,2014年12月2日,,文献事件,,,,,,,,,,,
《推动共建丝绸之路经济带和21世纪海上丝绸之路的愿景与行动》,,,2015年3月28日,,文献事件,,,,,,,,,,,
“四个全面”战略布局,,2015年2月2日，习近平在省部级主要领导干部学习贯彻党的十八届四中全会精神全面推进依法治国专题研讨班上系统阐述“四个全面”战略布局。,2015年2月2日,,决策事件,习近平,,,,,,,,,,
《关于加强中央纪委派驻机构建设的意见》,,,2014年12月31日,,文献事件,,,,,,,,,,,
《关于全面落实中央纪委向中央一级党和国家机关派驻纪检机构的方案》,,,2015年11月20日,,文献事件,,,,,,,,,,,
《关于深化中央纪委国家监委派驻机构改革的意见》,,,2018年10月21日,,文献事件,,,,,,,,,,,
《关于农村土地征收、集体经营性建设用地入市、宅基地制度改革试点工作的意见》,,中共中央办公厅、国务院办公厅印发《关于农村土地征收、集体经营性建设用地入市、宅基地制度改革试点工作的意见》。2015年起在33个县（市、区）开展试点。,2014年12月31日,,文献事件,,,,,,,,,,,
《关于加强社会主义协商民主建设的意见》,,中共中央印发《关于加强社会主义协商民主建设的意见》，对新形势下开展政党协商、人大协商、政府协商、政协协商、人民团体协商、基层协商、社会组织协商等作出全面部署，推进社会主义协商民主广泛多层制度化发展。,2015年1月5日,,文献事件,,,,,,,,,,,
《关于促进云计算创新发展培育信息产业新业态的意见》,,,2015年1月6日,,文献事件,,,,,,,,,,,
《促进大数据发展行动纲要》,,,2015年8月31日,,文献事件,,,,,,,,,,,
中央政治局常委会召开会议,,中央政治局常委会召开会议，专门听取全国人大常委会、国务院、全国政协、最高人民法院、最高人民检察院党组工作汇报。这成为实现党中央集中统一领导的一项制度性安排。,2015年1月16日,,会议事件,,,,,,,,,,,
十二届全国人大三次会议解放军代表团全体会议,,,2015年3月12日,,会议事件,,,,,,,,,,,
《军民融合发展战略纲要》,,,2018年8月11日,,文献事件,,,,,,,,,,,
《关于深化体制机制改革加快实施创新驱动发展战略的若干意见》,,,2015年3月13日,,文献事件,,,,,,,,,,,
《国家创新驱动发展战略纲要》,,,2016年1月18日,,文献事件,,,,,,,,,,,
《关于在县处级以上领导干部中开展“三严三实”专题教育方案》,,中共中央办公厅印发《关于在县处级以上领导干部中开展“三严三实”专题教育方案》。从4月底开始，在县处级以上领导干部中不分批次、不划阶段、不设环节开展“三严三实”专题教育，着力解决“不严不实”问题。,2015年4月10日,,文献事件,,,,,,,,,,,
中央统战工作会议,,中央统战工作会议召开。习近平讲话强调，要巩固和发展最广泛的爱国统一战线，为实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦提供广泛力量支持。,2015年5月18日－2015年5月20日,,会议事件,,,,,,,,,,,
《中国共产党统一战线工作条例（试行）》,,中共中央印发《中国共产党统一战线工作条例（试行）》。2020年12月21日，该条例经修订后重新颁布。,2015年5月18日,,文献事件,,,,,,,,,,,
《中国共产党党组工作条例（试行）》,,中共中央印发《中国共产党党组工作条例（试行）》。2019年4月6日，该条例经修订后重新颁布。,2015年6月11日,,文献事件,,,,,,,,,,,
《关于大力推进大众创业万众创新若干政策措施的意见》,,国务院印发《关于大力推进大众创业万众创新若干政策措施的意见》，并确定从2015年起，每年举办大众创业万众创新活动周。2016年、2017年、2020年，国务院办公厅确定三批共212个双创示范基地。,2015年6月11日,,文献事件,,,,,,,,,,,
十二届全国人大常委会第十五次会议,,,2015年7月1日,,会议事件,,,,,,,,,,,
《关于积极推进“互联网+”行动的指导意见》,,,2015年7月1日,,文献事件,,,,,,,,,,,
中央党的群团工作会议,,习近平讲话强调，要下决心纠正机关化、行政化、贵族化、娱乐化，切实保持和增强党的群团工作的政治性、先进性、群众性。此前，1月8日，中共中央印发《关于加强和改进党的群团工作的意见》。,2015年7月6日－2015年7月7日,,会议事件,,,,,,,,,,,
《关于加强和改进党的群团工作的意见》,,,2015年1月8日,,文献事件,,,,,,,,,,,
《全国海洋主体功能区规划》,,国务院印发《全国海洋主体功能区规划》。至此，我国主体功能区战略实现陆域国土空间和海域国土空间的全覆盖。,2015年8月1日,,文献事件,,,,,,,,,,,
《关于深化国有企业改革的指导意见》,,中共中央、国务院印发《关于深化国有企业改革的指导意见》。此后，陆续出台有关加强国有企业党的建设、国有企业分类改革、发展混合所有制经济、完善国资监管体制、防止国有资产流失、完善法人治理结构等多个配套文件。,2015年8月24日,,文献事件,,,,,,,,,,,
中央第六次西藏工作座谈会,,习近平讲话强调，必须坚持治国必治边、治边先稳藏的战略思想，坚持依法治藏、富民兴藏、长期建藏、凝聚人心、夯实基础的重要原则，不断增进各族群众对伟大祖国、中华民族、中华文化、中国共产党、中国特色社会主义的认同。,2015年8月24日－2015年8月25日,,会议事件,,,,,,,,,,,
《环境保护督察方案（试行）》,,,2015年8月30日,,文献事件,,,,,,,,,,,
《中央生态环境保护督察工作规定》施行,,,2019年6月6日,,文献事件,,,,,,,,,,,
习近平对美国进行国事访问并出席联合国成立70周年系列峰会,,习近平对美国进行国事访问并出席联合国成立70周年系列峰会。28日，习近平在纽约联合国总部出席第70届联合国大会一般性辩论并发表讲话，强调要继承和弘扬联合国宪章宗旨和原则，构建以合作共赢为核心的新型国际关系，打造人类命运共同体。,2015年9月22日－2015年9月28日,,访问事件,,,,,,,,,,,
《关于推进价格机制改革的若干意见》,,中共中央、国务院印发《关于推进价格机制改革的若干意见》。到2017年底，97%以上的商品和服务价格已实现市场调节。,2015年10月12日,,文献事件,,,,,,,,,,,
《中国共产党廉洁自律准则》,,,2015年10月18日,,文献事件,,,,,,,,,,,
《中国共产党纪律处分条例》,,,2015年10月18日,,文献事件,,,,,,,,,,,
修订后的《中国共产党纪律处分条例》,,,2018年8月18日,,文献事件,,,,,,,,,,,
《统筹推进世界一流大学和一流学科建设总体方案》,,,2015年10月24日,,文献事件,,,,,,,,,,,
中共十八届五中全会,,全会通过《关于制定国民经济和社会发展第十三个五年规划的建议》。全会提出以人民为中心的发展思想，强调必须牢固树立并切实贯彻创新、协调、绿色、开放、共享的发展理念。,2015年10月26日－2015年10月29日,,会议事件,,,,,,,,,,,
《领导指挥体制改革实施方案》,,中央军委印发《领导指挥体制改革实施方案》。2016年2月29日起，全军按新的领导指挥体制运行。,2015年11月23日,,文献事件,,,,,,,,,,,
中央军委改革工作会议,,中央军委改革工作会议召开。习近平讲话强调，要全面实施改革强军战略，坚定不移走中国特色强军之路。28日，中央军委印发《关于深化国防和军队改革的意见》。指出，牢牢把握军委管总、战区主战、军种主建的原则，以领导管理体制、联合作战指挥体制改革为重点，协调推进规模结构、政策制度和军民融合深度发展改革。,2015年11月24日－2015年11月26日,,会议事件,,,,,,,,,,,
《关于进一步完善城乡义务教育经费保障机制的通知》,,,2015年11月25日,,文献事件,,,,,,,,,,,
签署《〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议》,,11月27日、28日 《〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议》、《〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议》分别签署，内地与香港、澳门服务贸易自由化基本实现。,2015年11月27日,,文献事件,,,,,,,,,,,
签署《〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议》,,11月27日、29日 《〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议》、《〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议》分别签署，内地与香港、澳门服务贸易自由化基本实现。,2015年11月28日,,文献事件,,,,,,,,,,,
2015年中央扶贫开发工作会议,,习近平讲话强调，打赢脱贫攻坚战，要做到“六个精准”，解决好“扶持谁”、“谁来扶”、“怎么扶”、“如何退”的问题，实施“五个一批”工程，加快形成中央统筹、省（自治区、直辖市）负总责、市（地）县抓落实的扶贫开发工作机制，形成五级书记抓扶贫、全党动员促攻坚的局面。,2015年11月27日－2015年11月28日,,会议事件,,,,,,,,,,,
《关于打赢脱贫攻坚战的决定》,,,2015年11月29日,,文献事件,,,,,,,,,,,
《关于加快实施自由贸易区战略的若干意见》,,,2015年12月6日,,文献事件,,,,,,,,,,,
《中国三江源国家公园体制试点方案》,,中央全面深化改革领导小组第19次会议审议通过《中国三江源国家公园体制试点方案》。此后，中央又先后批准大熊猫国家公园、东北虎豹国家公园、海南热带雨林国家公园等国家公园试点。,2015年12月9日,,文献事件,,,,,,,,,,,
《关于加强和改进新形势下党校工作的意见》,,,2015年12月9日,,文献事件,,,,,,,,,,,
2015年中央经济工作会议召开,,习近平讲话强调，推进供给侧结构性改革，是适应和引领经济发展新常态的重大创新。要实行宏观政策要稳、产业政策要准、微观政策要活、改革政策要实、社会政策要托底的总体思路，着力加强结构性改革，在适度扩大总需求的同时，去产能、去库存、去杠杆、降成本、补短板，推动我国社会生产力水平整体改善。,2015年12月18日－2015年12月21日,,会议事件,,,,,,,,,,,
中央城市工作会议,,习近平讲话强调，要坚持人民城市为人民，尊重城市发展规律，在统筹上下功夫，在重点上求突破，着力提高城市发展持续性、宜居性。,2015年12月20日－2015年12月21日,,会议事件,,,,,,,,,,,
《关于深入推进城市执法体制改革改进城市管理工作的指导意见》,,,2015年12月24日,,文献事件,,,,,,,,,,,
《关于进一步加强城市规划建设管理工作的若干意见》,,,2016年2月6日,,文献事件,,,,,,,,,,,
《关于建立健全党和国家功勋荣誉表彰制度的意见》,,,2015年12月25日,,文献事件,,,,,,,,,,,
亚洲基础设施投资银行正式成立,,亚洲基础设施投资银行正式成立。到2020年底，亚投行成员数量已从57个增至103个。,2015年12月25日,,成立事件,,,,,,,,,,,
《关于整合城乡居民基本医疗保险制度的意见》,,国务院印发《关于整合城乡居民基本医疗保险制度的意见》，提出整合城镇居民基本医疗保险和新型农村合作医疗，建立统一的城乡居民基本医疗保险制度。“十三五”期间，我国基本医疗保险参保人数达13.6亿人。,2016年1月3日,,文献事件,,,,,,,,,,,
推动长江经济带发展座谈会,,习近平在重庆召开的推动长江经济带发展座谈会上讲话指出，推动长江经济带发展是国家一项重大区域发展战略，要坚持生态优先、绿色发展，共抓大保护、不搞大开发。,2016年1月5日,重庆,会议事件,习近平,,,,,,,,,,
《长江经济带发展规划纲要》,,,2016年5月30日,,文献事件,,,,,,,,,,,
深入推动长江经济带发展座谈会,,,2018年4月26日,,会议事件,习近平,,,,,,,,,,
全面推动长江经济带发展座谈会,,,2020年11月14日,,会议事件,习近平,,,,,,,,,,
《关于全面振兴东北地区等老工业基地的若干意见》,,,2016年2月6日,,文献事件,,,,,,,,,,,
《关于军队和武警部队全面停止有偿服务活动的通知》,,,2016年2月16日,,文献事件,,,,,,,,,,,
党的新闻舆论工作座谈会,,习近平主持召开党的新闻舆论工作座谈会，指出在新的时代条件下，党的新闻舆论工作要把坚持正确政治方向放在第一位。,2016年2月19日,,会议事件,,,,,,,,,,,
《关于在全体党员中开展“学党章党规、学系列讲话，做合格党员”学习教育方案》,,,2016年2月24日,,文献事件,,,,,,,,,,,
《关于推进“两学一做”学习教育常态化制度化的意见》,,,2017年3月20日,,文献事件,,,,,,,,,,,
澜沧江－湄公河合作首次领导人会议,,澜沧江－湄公河合作首次领导人会议在海南三亚召开，正式启动澜湄合作机制。,2016年3月23日,海南三亚,会议事件,,,,,,,,,,,
2016年中央政治局常委会会议,,中央政治局常委会会议听取关于北京城市副中心和疏解北京非首都功能集中承载地有关情况的汇报，确定疏解北京非首都功能集中承载地新区规划选址并同意定名为“雄安新区”。,2016年3月24日,,会议事件,,,,,,,,,,,
网络安全和信息化工作座谈会,,习近平主持召开网络安全和信息化工作座谈会，强调在践行新发展理念上先行一步，让互联网更好造福国家和人民。,2016年4月19日,,会议事件,,,,,,,,,,,
全国宗教工作会议,,习近平在全国宗教工作会议上讲话指出，积极引导宗教与社会主义社会相适应，一个重要的任务就是支持我国宗教坚持中国化方向。做好党的宗教工作，关键是要在“导”上想得深、看得透、把得准，做到“导”之有方、“导”之有力、“导”之有效，牢牢掌握宗教工作主动权。,2016年4月22日,,会议事件,,,,,,,,,,,
中国签署气候变化《巴黎协定》,,,2016年4月22日,,文献事件,,,,,,,,,,,
农村改革座谈会,,习近平在安徽凤阳县小岗村主持召开农村改革座谈会时讲话指出，新形势下深化农村改革，主线仍然是处理好农民和土地的关系。最大的政策，就是必须坚持和完善农村基本经营制度，坚持农村土地集体所有，坚持家庭经营基础性地位，坚持稳定土地承包关系。,2016年4月25日,安徽凤阳,会议事件,,,,,,,,,,,
哲学社会科学工作座谈会,,习近平主持召开哲学社会科学工作座谈会，提出要着力构建中国特色哲学社会科学，强调坚定中国特色社会主义道路自信、理论自信、制度自信，说到底是要坚定文化自信，文化自信是更基本、更深沉、更持久的力量。,2016年5月17日,,会议事件,,,,,,,,,,,
《关于加快构建中国特色哲学社会科学的意见》,,,2017年3月5日,,文献事件,,,,,,,,,,,
庆祝中国共产党成立95周年大会,,习近平讲话指出，要永远保持建党时中国共产党人的奋斗精神，永远保持对人民的赤子之心。一切向前走，都不能忘记走过的路；走得再远、走到再光辉的未来，也不能忘记走过的过去，不能忘记为什么出发。面向未来，面对挑战，全党同志一定要不忘初心、继续前进。讲话强调，中国特色社会主义最本质的特征是中国共产党领导，中国特色社会主义制度的最大优势是中国共产党领导。,2016年7月1日,,会议事件,,,,,,,,,,,
《关于深化投融资体制改革的意见》,,中共中央、国务院印发《关于深化投融资体制改革的意见》，新一轮投融资体制改革全面展开。,2016年7月5日,,文献事件,,,,,,,,,,,
《中国共产党问责条例》,,,2016年7月8日,,文献事件,,,,,,,,,,,
《中华人民共和国政府关于在南海的领土主权和海洋权益的声明》,,,2016年7月12日,,文献事件,,,,,,,,,,,
首次“1+6”圆桌对话会,,首次“1+6”圆桌对话会在北京召开。此后，中国同世界银行、国际货币基金组织、世界贸易组织、国际劳工组织、经济合作与发展组织、金融稳定理事会每年召开一次“1+6”圆桌对话会。,2016年7月22日,北京,会议事件,,,,,,,,,,,
全国卫生与健康大会,,全国卫生与健康大会召开。习近平讲话强调，要把人民健康放在优先发展的战略地位，加快推进健康中国建设，努力全方位、全周期保障人民健康。,2016年8月19日－2016年8月20日,,会议事件,,,,,,,,,,,
